1:l;2:TT;3:EE;4:TE;5:BB;6:phiphi;7:TPhi;8:Ephi
2    ;1494398375327    ;0.007315016078006;0.4820653136602;0.000000000000e+00;8899389792898    ;4879130463155    ;-2513521431524    
3    ;1408249753692    ;0.01238630792311;0.6064281993555;0.000000000000e+00;5433446239752    ;3466906190915    ;-2211231949892    
4    ;1323520959755    ;0.01446279513188;0.6273192020188;0.000000000000e+00;3759385861789    ;2634429285808    ;-1764012621707    
5    ;1256415047138    ;0.01337607624342;0.587500427543;0.000000000000e+00;2796793198591    ;2088134218905    ;-1309402795537    
6    ;1206972924041    ;0.01032145594361;0.5169918065378;0.000000000000e+00;2178870000288    ;1703675347551    ;-0.8948042836483
7    ;1172226236898    ;0.00684066078754;0.4361971148555;0.000000000000e+00;1753748531043    ;1420095862637    ;-0.544378934262
8    ;1148973395499    ;0.00404184201627;0.3573946985691;0.000000000000e+00;1446454111665    ;1203520417639    ;-0.2689073490246
9    ;1134769816036    ;0.00233597769524;0.2878532650284;0.000000000000e+00;1215778602442    ;1033589464726    ;-0.07004096756775
10    ;1127468199364    ;0.001571350068518;0.231628176695;0.000000000000e+00;1037473932852    ;8976793547765    ;0.05752365531733
11    ;1125672385925    ;0.001345705158439;0.1904229816529;0.000000000000e+00;8886918302485    ;7950450856626    ;0.1233840823272
12    ;1128294976117    ;0.001288231241309;0.1639402969271;0.000000000000e+00;7765295416287    ;702820409515    ;0.1421785058745
13    ;113413583859    ;0.001200665266201;0.1504279110137;0.000000000000e+00;6844576704334    ;6274523773439    ;0.1277247689499
14    ;1142211003812    ;0.001054802879362;0.1473131611956;0.000000000000e+00;6078517534577    ;5620885191807    ;0.09278650488699
15    ;115258100567    ;0.0009105621833322;0.1515846383427;0.000000000000e+00;5433702632118    ;5074694365092    ;0.04960475963059
16    ;1164857611207    ;0.0008294043126488;0.160213878419;0.000000000000e+00;4885461571303    ;4611726794159    ;0.007263366654118
17    ;1178213980278    ;0.0008287637007354;0.1706832088079;0.000000000000e+00;4415160421985    ;4212051305116    ;-0.02790444241683
18    ;1192600026872    ;0.0008835307364294;0.1812288581789;0.000000000000e+00;4008506874704    ;3859172267291    ;-0.05238554969787
19    ;1208352855162    ;0.0009539830409661;0.190685063821;0.000000000000e+00;3654378771888    ;3544065731095    ;-0.06516278721038
20    ;1224798421034    ;0.001013987666801;0.1984657141802;0.000000000000e+00;3344024167539    ;3267447909881    ;-0.06707331499547
21    ;1241726922768    ;0.001062752896974;0.2046473459292;0.000000000000e+00;3070460643215    ;302279358524    ;-0.06045168445038
22    ;1259787719975    ;0.001118695596154;0.2095782408574;0.000000000000e+00;2828062988484    ;2802761904896    ;-0.04836116046842
23    ;127801622146    ;0.001204620457154;0.2137740589081;0.000000000000e+00;2612250113697    ;2601651406311    ;-0.03403736813923
24    ;1296973696132    ;0.001335004919113;0.2177887374961;0.000000000000e+00;2419266310593    ;2417474455613    ;-0.02038766581556
25    ;1316091792578    ;0.001511824945656;0.2221307967391;0.000000000000e+00;2246002047584    ;2254187198015    ;-0.009406082786014
26    ;1335793620383    ;0.001728461635725;0.2271745060547;0.000000000000e+00;2089862725888    ;2109219447659    ;-0.002291811263075
27    ;1356332068439    ;0.001976634136354;0.2328668071988;0.000000000000e+00;1948669497083    ;1977429963506    ;0.0006364043934554
28    ;1376260589679    ;0.002251561009344;0.2391440801094;0.000000000000e+00;1820579167221    ;1855756542525    ;-0.0001927991076506
29    ;1397307486374    ;0.002553060907558;0.2456701510779;0.000000000000e+00;1704025951855    ;1745353158675    ;-0.003810607595376
30    ;141820975041    ;0.002882402629663;0.2520395156127;0.000000000000e+00;1597671446666    ;1644876302147    ;-0.009171849088952
31    ;1439326163184    ;0.003239103913022;0.257936503692;0.000000000000e+00;15003827114    ;1552033987621    ;-0.01513279535245
32    ;1461636652342    ;0.003620811880528;0.2625619651544;0.000000000000e+00;1411166826947    ;1468631404584    ;-0.02022594480101
33    ;1483006025919    ;0.004024433599238;0.2656156163106;0.000000000000e+00;1329161497319    ;139178919936    ;-0.02358212457503
34    ;1505388115781    ;0.004448120977997;0.2669514000372;0.000000000000e+00;1253613500596    ;132012391015    ;-0.02482527053303
35    ;15280980084    ;0.004892966354026;0.2662456667556;0.000000000000e+00;1183882554161    ;1248565503489    ;-0.02450882336111
36    ;1550201318732    ;0.005362913637555;0.2638066824488;0.000000000000e+00;1119397735072    ;1185462887783    ;-0.02233477500471
37    ;1573712211231    ;0.005863398656478;0.2596295609787;0.000000000000e+00;1059648719171    ;1129629745456    ;-0.01878722606731
38    ;1596831268419    ;0.006399173777419;0.2537381683715;0.000000000000e+00;1004188185115    ;1074780621002    ;-0.01495426856273
39    ;1620058432037    ;0.006973030176228;0.2465549529542;0.000000000000e+00;952635619684    ;1021742018226    ;-0.01144662217087
40    ;1644278576355    ;0.007585744315796;0.2380012900442;0.000000000000e+00;9046340755528    ;9749589269992    ;-0.008354724418329
41    ;166772072609    ;0.008236657672229;0.2283029693759;0.000000000000e+00;8598668057653    ;9316897525444    ;-0.006283311070908
42    ;1691960730569    ;0.008924598079112;0.2177507705905;0.000000000000e+00;818066479756    ;888754730878    ;-0.005725813036563
43    ;1716949205134    ;0.009648586967746;0.2059657319937;0.000000000000e+00;778980415945    ;8505153197246    ;-0.005910870586055
44    ;1740990573204    ;0.01040908321653;0.1929032473338;0.000000000000e+00;7423784076927    ;8141700742585    ;-0.006883551097628
45    ;1765810438586    ;0.01120742910125;0.1785691269624;0.000000000000e+00;7080699276014    ;7784286041877    ;-0.008645132074878
46    ;1790906303094    ;0.01204331568496;0.1625917879616;0.000000000000e+00;6758597359874    ;746858747165    ;-0.01026956609097
47    ;1816233179547    ;0.01291655205018;0.1448314292543;0.000000000000e+00;6456067635889    ;7185147798358    ;-0.01145094919144
48    ;1842019899008    ;0.01382702934689;0.1252352517086;0.000000000000e+00;6171401780638    ;6910211636732    ;-0.01212738949135
49    ;1867936122208    ;0.01477453549416;0.1037234859622;0.000000000000e+00;5903414413303    ;6638746976613    ;-0.01226871752462
50    ;1893636999113    ;0.01575900904724;0.08021824832173;0.000000000000e+00;5650739913136    ;6372386706192    ;-0.01186393193074
51    ;1919598391346    ;0.01678143920519;0.05469295469059;0.000000000000e+00;5412393917475    ;6120393172434    ;-0.01093679159028
52    ;1946330951081    ;0.01784296877124;0.02717600722566;0.000000000000e+00;5187242650633    ;5891275320578    ;-0.009566626911869
53    ;1973329531415    ;0.01894389545399;-0.002142538869368;0.000000000000e+00;4974464580019    ;5678498726669    ;-0.008004830961655
54    ;200000777401    ;0.02008415146438;-0.03306195619956;0.000000000000e+00;4773120800477    ;547269193813    ;-0.006548907057812
55    ;2026914583392    ;0.02126323590926;-0.06561250975631;0.000000000000e+00;458251759182    ;5274421519599    ;-0.005390151931638
56    ;2054685481722    ;0.02248041291209;-0.0998452527757;0.000000000000e+00;4401865996769    ;5086907544003    ;-0.004673073628312
57    ;2082765165673    ;0.02373476569251;-0.1356056270121;0.000000000000e+00;4230577926583    ;4912802414355    ;-0.004421892637088
58    ;2110486095487    ;0.02502551303035;-0.1727342926113;0.000000000000e+00;4067988604106    ;4752848404886    ;-0.004621153377552
59    ;2138375269854    ;0.02635302060086;-0.2113534729508;0.000000000000e+00;3913594685782    ;4600173755207    ;-0.005239264902398
60    ;21670817468    ;0.02771798070559;-0.2516425462046;0.000000000000e+00;3766830537795    ;4447418703534    ;-0.006198581916845
61    ;2196172456898    ;0.02912099466413;-0.2936407176401;0.000000000000e+00;3627266447308    ;4296995368462    ;-0.007263627518541
62    ;2225086157051    ;0.03056229853926;-0.3373581034627;0.000000000000e+00;3494422438134    ;4153581974151    ;-0.008176332266555
63    ;225418442495    ;0.03204055919908;-0.382843232151;0.000000000000e+00;3367928817674    ;4019171632326    ;-0.008844551545169
64    ;2283937417064    ;0.0335541988354;-0.4301434799549;0.000000000000e+00;3247374950601    ;3894204063384    ;-0.00922992930303
65    ;2314074393739    ;0.03510288913158;-0.4792442693513;0.000000000000e+00;313244570128    ;3775586384631    ;-0.009341927003011
66    ;2344221664257    ;0.03668632932238;-0.5301126495068;0.000000000000e+00;3022789244374    ;3659830451711    ;-0.009212474825738
67    ;2374552909308    ;0.03830289304707;-0.5827191585683;0.000000000000e+00;2918115537125    ;3547136622572    ;-0.008903448340171
68    ;2405337446777    ;0.03995075728761;-0.6370299125951;0.000000000000e+00;2818111853339    ;3438587523911    ;-0.008495762060065
69    ;2436561621265    ;0.04162921927073;-0.6929969285856;0.000000000000e+00;2722576100522    ;333471590923    ;-0.008096010654988
70    ;2468123028743    ;0.04333787214301;-0.7505640939081;0.000000000000e+00;2631259481943    ;3235876394401    ;-0.007827574602731
71    ;2499927404926    ;0.04507623260997;-0.8096787230622;0.000000000000e+00;2543864222119    ;3142158638546    ;-0.0077982238785
72    ;2531975117632    ;0.0468435014316;-0.8703220137188;0.000000000000e+00;2460225308715    ;3052676242894    ;-0.008005505492472
73    ;2564290096207    ;0.04863875852044;-0.9324842788559;0.000000000000e+00;2380155233773    ;2966133523064    ;-0.008413741946018
74    ;259689661702    ;0.05046111583889;-0.9961616171648;0.000000000000e+00;2303426449316    ;2881508171979    ;-0.008973399295093
75    ;2629827312383    ;0.05230998318929;-1061373866179    ;0.000000000000e+00;222989896611    ;2799597699628    ;-0.009594242044266
76    ;2663116331748    ;0.05418485159567;-1128150161634    ;0.000000000000e+00;2159410123962    ;2721748837413    ;-0.01016675820681
77    ;2696783076021    ;0.05608495100163;-1196496135299    ;0.000000000000e+00;2091767585518    ;264893332844    ;-0.01059867240162
78    ;2730788046121    ;0.05800840067561;-1266305142672    ;0.000000000000e+00;202685692974    ;2580246491203    ;-0.01090776506375
79    ;27650687698    ;0.05995290756215;-1337431331031    ;0.000000000000e+00;1964548499423    ;2514141208828    ;-0.01114514492196
80    ;2799574392825    ;0.06191606579881;-1409742673319    ;0.000000000000e+00;1904688416516    ;2449274944233    ;-0.01134682081114
81    ;2834335581811    ;0.063895518186;-1483207231177    ;0.000000000000e+00;1847178878696    ;238581201004    ;-0.01146654667921
82    ;2869406080752    ;0.06588881570599;-1557821290925    ;0.000000000000e+00;1791908082799    ;2324335657868    ;-0.01143161365581
83    ;2904828205715    ;0.0678935308018;-1633565084625    ;0.000000000000e+00;1738745699927    ;226535407663    ;-0.01120105001661
84    ;2940589376051    ;0.06990778251461;-171034328505    ;0.000000000000e+00;1687610089198    ;2208964238605    ;-0.01088797023448
85    ;2976658265817    ;0.07192979435809;-1788034750151    ;0.000000000000e+00;1638409477586    ;2155132399168    ;-0.01065747883769
86    ;3013008864711    ;0.07395782590207;-1866543195646    ;0.000000000000e+00;1591037076497    ;2103711840472    ;-0.01063494440663
87    ;3049656316076    ;0.0759904571409;-1945902322172    ;0.000000000000e+00;1545423626577    ;2054182132212    ;-0.01072923851938
88    ;3086626490111    ;0.07802635019305;-2026187481932    ;0.000000000000e+00;1501491152832    ;2005865053703    ;-0.01078156550773
89    ;3123939384204    ;0.08006430028536;-2107462778653    ;0.000000000000e+00;1459149292105    ;1958231818969    ;-0.01066222816201
90    ;3161590801015    ;0.08210366599672;-2189712382126    ;0.000000000000e+00;1418336917404    ;1911638516076    ;-0.01041046010681
91    ;3199567691247    ;0.08414400921632;-2272899038681    ;0.000000000000e+00;1378985308771    ;1866701801886    ;-0.01011584345463
92    ;3237855221916    ;0.08618470537617;-2356973986346    ;0.000000000000e+00;1341017567638    ;1823913831406    ;-0.009855615577225
93    ;3276442073292    ;0.08822410837164;-2441842499979    ;0.000000000000e+00;1304389029275    ;1783122255563    ;-0.00962899219813
94    ;3315315699717    ;0.09026026428288;-2527393136303    ;0.000000000000e+00;1269051621476    ;1743972474535    ;-0.009413248674558
95    ;3354460579295    ;0.09229116384602;-2613508008389    ;0.000000000000e+00;1234940872902    ;1706063320534    ;-0.00918354031869
96    ;3393863763927    ;0.09431455467051;-2700067134329    ;0.000000000000e+00;1201987364447    ;1669040844566    ;-0.008920514943382
97    ;3433532696736    ;0.09632734742421;-2786962478899    ;0.000000000000e+00;1170154238306    ;1632898369578    ;-0.008634544219748
98    ;3473479798835    ;0.0983261219041;-2874085738215    ;0.000000000000e+00;113940412033    ;1597717796411    ;-0.008344936966539
99    ;3513717000844    ;0.1003073039504;-2961323982176    ;0.000000000000e+00;1109687166473    ;1563578122934    ;-0.008072624747553
100    ;3554251695621    ;0.1022677158651;-3048577825261    ;0.000000000000e+00;1080949455724    ;1530541965233    ;-0.007835560517451
101    ;3595074032834    ;0.1042063217792;-313581899179    ;0.000000000000e+00;1053160419583    ;1498613367017    ;-0.007634089419846
102    ;3636167761517    ;0.1061227230628;-3223040738211    ;0.000000000000e+00;1026288496957    ;1467773697817    ;-0.007463592793877
103    ;3677513994022    ;0.1080166306833;-3310240482922    ;0.000000000000e+00;1000292352669    ;1437994077431    ;-0.007318933762573
104    ;3719095603962    ;0.1098875020089;-3397403246259    ;0.000000000000e+00;9751276145302    ;140922444242    ;-0.007194989993726
105    ;3760911282951    ;0.111733387211;-348444910118    ;0.000000000000e+00;9507688007109    ;1381359804954    ;-0.007088364079742
106    ;3802963230313    ;0.1135519333394;-3571278869242    ;0.000000000000e+00;9271897799129    ;1354268773038    ;-0.006995879197955
107    ;3845252801438    ;0.1153407371238;-3657790162134    ;0.000000000000e+00;9043567480424    ;13278032777    ;-0.006914045104945
108    ;38877787061    ;0.1170974455839;-3743884399444    ;0.000000000000e+00;8822335554285    ;1301844252181    ;-0.00683963387446
109    ;3930531416433    ;0.1188200733191;-3829488975344    ;0.000000000000e+00;8607989891057    ;1276446426251    ;-0.006771509553315
110    ;3973497957566    ;0.1205067262607;-3914537928705    ;0.000000000000e+00;8400313072628    ;1251711620018    ;-0.006709023030099
111    ;4016663552446    ;0.1221555052582;-3998965186194    ;0.000000000000e+00;8199026959036    ;1227744299215    ;-0.00665144760423
112    ;4060014484407    ;0.123764574661;-4082704656453    ;0.000000000000e+00;8003833830588    ;1204609952006    ;-0.006597306727841
113    ;4103547212142    ;0.1253323762079;-4165690445584    ;0.000000000000e+00;7814549577481    ;1182204252374    ;-0.006542265549408
114    ;414726030305    ;0.1268574436077;-4247856739301    ;0.000000000000e+00;7630983942086    ;1160367382751    ;-0.006480969142898
115    ;4191151590741    ;0.1283383385314;-4329137786431    ;0.000000000000e+00;745289767112    ;1138923814759    ;-0.006407680727603
116    ;4235216809087    ;0.1297736257086;-4409466015434    ;0.000000000000e+00;7280040829157    ;1117731745378    ;-0.00631834088924
117    ;4279445364844    ;0.1311617917588;-4488766042675    ;0.000000000000e+00;711227602989    ;1096839047391    ;-0.006217047204808
118    ;4323823996957    ;0.1325013190998;-4566960003848    ;0.000000000000e+00;6949467616783    ;1076345644812    ;-0.00611035033523
119    ;4368338030042    ;0.1337907125498;-4643969431293    ;0.000000000000e+00;6791442240663    ;1056355443114    ;-0.006005266694026
120    ;4412971335013    ;0.1350285005081;-4719715275112    ;0.000000000000e+00;6637987804824    ;1036976384711    ;-0.00590928834143
121    ;4457708781626    ;0.1362132697663;-4794119962761    ;0.000000000000e+00;648888731464    ;101829587783    ;-0.005828583014037
122    ;4502544004357    ;0.1373437720271;-4867113805098    ;0.000000000000e+00;6344027151671    ;1000303715756    ;-0.005762335104577
123    ;4547472473046    ;0.1384188320992;-4938629381296    ;0.000000000000e+00;6203299509998    ;0.982960223332;-0.005707759717283
124    ;4592489063237    ;0.1394373168192;-5008599604636    ;0.000000000000e+00;6066567860231    ;0.9662199347607;-0.005661848619518
125    ;4637588037061    ;0.1403981365057;-5076957760198    ;0.000000000000e+00;5933666178355    ;0.950031448899;-0.005621365423538
126    ;4682761970862    ;0.1413002567357;-5143636621586    ;0.000000000000e+00;5804424370093    ;0.9343344636842;-0.005583024718352
127    ;4727998442576    ;0.1421427320771;-5208565608741    ;0.000000000000e+00;5678749412729    ;0.919050810637;-0.005544062460489
128    ;4773282934765    ;0.1429246789041;-5271673380797    ;0.000000000000e+00;5556551907008    ;0.9040921363586;-0.005501720804051
129    ;4818599827824    ;0.1436452669303;-5332888758952    ;0.000000000000e+00;5437720128681    ;0.8893624690351;-0.005453066482562
130    ;4863932372965    ;0.1443037207398;-5392140757257    ;0.000000000000e+00;5322119453791    ;0.8747580525743;-0.005394987370186
131    ;490926457567    ;0.1448993355058;-5449359640532    ;0.000000000000e+00;5209611960289    ;0.8602037393842;-0.00532545810793
132    ;4954587133396    ;0.1454315228151;-5504480162003    ;0.000000000000e+00;5100118846629    ;0.8457669656127;-0.005247498860131
133    ;4999892091494    ;0.1458997727159;-5557438735442    ;0.000000000000e+00;4993563703537    ;0.831555837586;-0.005165639894319
134    ;5045170976655    ;0.1463036415896;-5608172476958    ;0.000000000000e+00;4889852512043    ;0.8176837646164;-0.005084696194024
135    ;5090414783163    ;0.14664275378;-5656619242914    ;0.000000000000e+00;4788873208781    ;0.8042695468419;-0.005009772826831
136    ;513561362914    ;0.146916814244;-5702717513919    ;0.000000000000e+00;4690512776139    ;0.7913997653963;-0.004944721106867
137    ;5180755713972    ;0.1471256445367;-5746405952852    ;0.000000000000e+00;459471144387    ;0.7790113422192;-0.004887314086692
138    ;5225828225653    ;0.1472691536833;-5787623872425    ;0.000000000000e+00;4501413338679    ;0.7669968503642;-0.004833576097985
139    ;5270817645305    ;0.1473473291803;-5826311421554    ;0.000000000000e+00;441054914733    ;0.7552409600999;-0.004779282281474
140    ;5315709731291    ;0.1473602386968;-5862409622282    ;0.000000000000e+00;4322035794824    ;0.7436202839575;-0.004719953977279
141    ;5360489503341    ;0.1473080317752;-5895860406708    ;0.000000000000e+00;4235776122559    ;0.7320032217771;-0.004650854115263
142    ;5405142117565    ;0.1471909472842;-5926607005832    ;0.000000000000e+00;4151673769829    ;0.7202919486386;-0.004568604064834
143    ;5449655623652    ;0.147009333022;-5954595081903    ;0.000000000000e+00;4069680175026    ;0.7085534370531;-0.004476226103331
144    ;549401845433    ;0.1467636313123;-5979771779903    ;0.000000000000e+00;3989751682096    ;0.6969012952949;-0.004378598464356
145    ;5538218548693    ;0.1464543751479;-6002085424442    ;0.000000000000e+00;3911834528999    ;0.6854548932819;-0.004280884046622
146    ;5582243341581    ;0.1460821899255;-6021485558756    ;0.000000000000e+00;3835864615722    ;0.6743394566704;-0.004188535386444
147    ;5626079752964    ;0.1456477951809;-6037922983715    ;0.000000000000e+00;3761767272297    ;0.6636861609479;-0.004107299630239
148    ;5669714539474    ;0.145152007125;-6051349923856    ;0.000000000000e+00;3689468179379    ;0.653595124567;-0.00404156672396
149    ;571313540936    ;0.1445957428698;-6061720461196    ;0.000000000000e+00;3618927799644    ;0.6440201892416;-0.003989224924729
150    ;5756329994849    ;0.1439800199125;-60689902175    ;0.000000000000e+00;355010982536    ;0.634873206971;-0.003946318620009
151    ;5799285491048    ;0.1433059570954;-6073116270354    ;0.000000000000e+00;3482970152909    ;0.6260600405692;-0.003908656740337
152    ;58419886473    ;0.1425747763445;-6074057192855    ;0.000000000000e+00;341745671149    ;0.6174804558665;-0.003871808716136
153    ;5884425758542    ;0.1417878044093;-6071773093309    ;0.000000000000e+00;3353509291821    ;0.6090280139118;-0.003831100434517
154    ;5926583043662    ;0.1409464676501;-6066225654297    ;0.000000000000e+00;3291067954909    ;0.6006127449274;-0.003782718434654
155    ;5968447838103    ;0.1400522721992;-6057378170407    ;0.000000000000e+00;3230099492372    ;0.5922317527044;-0.003727145721948
156    ;6010007495422    ;0.1391068252762;-604519558971    ;0.000000000000e+00;3170573094376    ;0.5839049552219;-0.003666037014189
157    ;6051249003542    ;0.1381118436657;-6029644554069    ;0.000000000000e+00;3112451862115    ;0.5756528956328;-0.003601140538009
158    ;6092158978045    ;0.1370691554214;-6010693438829    ;0.000000000000e+00;3055692679647    ;0.5674967489947;-0.003534299557068
159    ;6132723655478    ;0.1359807015706;-5988312392514    ;0.000000000000e+00;300024608573    ;0.5594583290019;-0.003467453900232
160    ;6172929440291    ;0.1348485209835;-5962473437658    ;0.000000000000e+00;294606344946    ;0.5515561530876;-0.003402241547079
161    ;6212764614409    ;0.133674699889;-5933150700054    ;0.000000000000e+00;2893119483892    ;0.5437932301094;-0.003338760333824
162    ;6252217767671    ;0.1324614211027;-5900320275832    ;0.000000000000e+00;2841391499947    ;0.5361681939159;-0.00327669848113
163    ;6291277253785    ;0.131210982071;-5863960211816    ;0.000000000000e+00;2790852189374    ;0.5286791357225;-0.003215724296459
164    ;6329931186207    ;0.1299257964968;-5824050545494    ;0.000000000000e+00;2741469530602    ;0.5213235924805;-0.003155485839161
165    ;6368167434022    ;0.1286083959656;-5780573344996    ;0.000000000000e+00;2693206694608    ;0.5140985352469;-0.003095610585568
166    ;6405973617824    ;0.1272614315715;-5733512749077    ;0.000000000000e+00;2646021950777    ;0.5070003575538;-0.003035705094086
167    ;6443337254056    ;0.1258876467573;-5682854692633    ;0.000000000000e+00;2599874734164    ;0.5000256310163;-0.002975446994674
168    ;6480246210505    ;0.1244897898261;-562858597319    ;0.000000000000e+00;2554744625885    ;0.4931734689239;-0.002914870472564
169    ;6516688281968    ;0.1230706970419;-5570695180917    ;0.000000000000e+00;2510613819674    ;0.4864433430112;-0.002854104617417
170    ;6552651041831    ;0.1216333222349;-5509173044247    ;0.000000000000e+00;2467461038953    ;0.4798343260843;-0.002793283350524
171    ;6588121838584    ;0.1201807383042;-5444012468513    ;0.000000000000e+00;2425261469048    ;0.4733450836719;-0.002732545484788
172    ;6623087792335    ;0.118716138721;-5375208574578    ;0.000000000000e+00;2383986689401    ;0.4669738656766;-0.002672034784698
173    ;6657535791327    ;0.1172428390308;-530275873747    ;0.000000000000e+00;2343604605788    ;0.4607184980259;-0.002611900026311
174    ;6691453083447    ;0.1157642382765;-5226662414526    ;0.000000000000e+00;2304083850425    ;0.4545753326347;-0.002552248591742
175    ;6724829112459    ;0.1142836965752;-5146920533214    ;0.000000000000e+00;2265407528705    ;0.4485360182023;-0.00249300286
176    ;675765382632    ;0.1128046503404;-5063536126982    ;0.000000000000e+00;2227560474629    ;0.4425904474552;-0.002434032103816
177    ;6789917094597    ;0.1113306527939;-497651457874    ;0.000000000000e+00;2190524834557    ;0.4367277626397;-0.002375197772973
178    ;6821608707333    ;0.1098653753104;-4885863658673    ;0.000000000000e+00;2154280017037    ;0.4309363430684;-0.002316353371165
179    ;6852718373902    ;0.1084126087625;-4791593562035    ;0.000000000000e+00;2118802642622    ;0.4252037926661;-0.002257344332867
180    ;6883235721872    ;0.1069762648658;-4693716946957    ;0.000000000000e+00;2084066493695    ;0.4195169275157;-0.002198007900191
181    ;6913150459558    ;0.1055603216131;-4592248422782    ;0.000000000000e+00;2050046229895    ;0.413865753519;-0.002138225710389
182    ;6942452880446    ;0.1041686519475;-4487202890882    ;0.000000000000e+00;2016728967628    ;0.4082557770035;-0.002078086464135
183    ;6971133396551    ;0.1028051840964;-4378597144971    ;0.000000000000e+00;1984103521772    ;0.4026966457211;-0.002017735911009
184    ;6999182377767    ;0.1014739573972;-4266450444335    ;0.000000000000e+00;1952156686137    ;0.3971982482666;-0.001957325363012
185    ;7026590151318    ;0.1001791234386;-4150784549628    ;0.000000000000e+00;1920873197007    ;0.3917707161595;-0.001897011763438
186    ;7053347001221    ;0.09892494720183;-4031623758681    ;0.000000000000e+00;1890235696679    ;0.3864244259247;-0.001836957755752
187    ;7079443167737    ;0.09771580820186;-3908994942297    ;0.000000000000e+00;1860224697001    ;0.3811700011737;-0.001777331752463
188    ;7104868846827    ;0.09655620162846;-3782927580053    ;0.000000000000e+00;1830818542914    ;0.3760183146856;-0.001718308004004
189    ;7129614511627    ;0.09545066114484;-3653452946544    ;0.000000000000e+00;1801996471719    ;0.3709787626558;-0.001660048174788
190    ;7153671905213    ;0.09440351836864;-3520601526576    ;0.000000000000e+00;1773748125891    ;0.3660539370084;-0.001602644368126
191    ;7177033122198    ;0.09341912731696;-3384405472514    ;0.000000000000e+00;1746064692699    ;0.3612445524013;-0.001546171906048
192    ;7199690294008    ;0.09250194198353;-3244899468968    ;0.000000000000e+00;1718935847362    ;0.3565511340862;-0.001490707440904
193    ;7221635589414    ;0.09165651721807;-3102120765754    ;0.000000000000e+00;169234972693    ;0.3519740142161;-0.00143632896244
194    ;7242861215068    ;0.09088750960573;-2956109210859    ;0.000000000000e+00;1666292904172    ;0.3475133281521;-0.001383115804876
195    ;7263359416028    ;0.09019967834641;-2806907283403    ;0.000000000000e+00;1640750361454    ;0.343169010771;-0.001331148653983
196    ;7283122476298    ;0.08959788613427;-26545601266    ;0.000000000000e+00;1615705464631    ;0.3389407927726;-0.001280509554164
197    ;7302143031835    ;0.08908701431067;-249911468691    ;0.000000000000e+00;159114219704    ;0.3348261206326;-0.001231227614416
198    ;7320415033909    ;0.08867169960195;-234061699298    ;0.000000000000e+00;1567052097303    ;0.330813755212;-0.001183111701821
199    ;7337932857033    ;0.08835657987479;-2179114741758    ;0.000000000000e+00;1543427777222    ;0.3268896991339;-0.001135905558872
200    ;7354690994276    ;0.0881463787508;-2014658204508    ;0.000000000000e+00;1520260688041    ;0.3230392212163;-0.001089340850397
201    ;7370684058753    ;0.0880459062222;-1847300257017    ;0.000000000000e+00;1497541101289    ;0.319246846392;-0.001043137003587
202    ;7385906785122    ;0.08806005926746;-1677096409812    ;0.000000000000e+00;1475258089609    ;0.3154963456275;-0.0009970010480146
203    ;7400354031072    ;0.08819382246701;-1504104838372    ;0.000000000000e+00;1453399507605    ;0.3117707258426;-0.0009506274556625
204    ;7414020778821    ;0.08845226861885;-1328386413341    ;0.000000000000e+00;1431951972669    ;0.30805221983;-0.0009036979809433
205    ;7426902208313    ;0.08884044922204;-1150003318081    ;0.000000000000e+00;1410902700974    ;0.3043257247438;-0.0008559615627138
206    ;7438993919415    ;0.08936305610005;-0.9690147306629;0.000000000000e+00;1390245198527    ;0.3005894068842;-0.0008074805990075
207    ;745029172819    ;0.09002473722976;-0.7854808972914;0.000000000000e+00;1369973932339    ;0.2968448213421;-0.0007584016387619
208    ;7460791598274    ;0.09083020504312;-0.599464543798;0.000000000000e+00;1350082497317    ;0.2930935299481;-0.0007088769381645
209    ;7470489642579    ;0.09178423672991;-0.4110309018393;0.000000000000e+00;1330563602375    ;0.2893371009907;-0.0006590645281793
210    ;7479382124984    ;0.0928916745404;-0.2202477350957;0.000000000000e+00;1311409056541    ;0.2855771089357;-0.0006091282820724
211    ;7487465462036    ;0.09415742608812;-0.0271853654694;0.000000000000e+00;129260975507    ;0.2818151341444;-0.0005592379829384
212    ;7494736224647    ;0.09558646465251;0.1680833007166;0.000000000000e+00;1274155665548    ;0.2780527625929;-0.0005095693912263
213    ;750119113979    ;0.09718382948173;0.3654827465202;0.000000000000e+00;1256035814002    ;0.2742915855907;-0.0004603043122657
214    ;7506827332591    ;0.09895449890997;0.5649364172441;0.000000000000e+00;1238239792514    ;0.2705357137437;-0.000411604512047
215    ;7511643067181    ;0.100902999595;0.7663716109796;0.000000000000e+00;1220762423584    ;0.266799507386;-0.0003635313742405
216    ;751563705895    ;0.1030337715868;0.9697148663215;0.000000000000e+00;12035993826    ;0.2631003654844;-0.0003161209705417
217    ;7518808240934    ;0.1053512931225;1174890370959    ;0.000000000000e+00;1186745694653    ;0.2594562643368;-0.000269409726329
218    ;752115576614    ;0.1078600805983;1381819939646    ;0.000000000000e+00;1170195724618    ;0.2558857638496;-0.0002234344199824
219    ;7522679009876    ;0.1105646885397;1590422992175    ;0.000000000000e+00;1153943167224    ;0.2524080138129;-0.0001782321822024
220    ;7523377572064    ;0.1134697095728;1800616531351    ;0.000000000000e+00;1137981037138    ;0.2490427601777;-0.0001338404953291
221    ;7523251279577    ;0.1165797743953;2012315120958    ;0.000000000000e+00;1122301659039    ;0.2458103513316;-0.0000902971926612
